GaussianNB,LogisticReg,DecisionTree,KNN,RandomForest,SVC RBF,Linear SVC,MLP,AdaBoost,XGBoost,LightGBM,RawNN,Hybrid LateFusion,Hybrid FeatureFusion RF,Hybrid FeatureFusion LR
0.24561403508771928,0.6666666666666666,0.543859649,0.47368421052631576,0.7017543859649122,0.7543859649122807,0.5789473684210527,0.6842105263157895,0.45614035087719296,0.6491228070175439,0.6666666666666666,0.7017543859649122,0.7017543859649122,0.7017543859649122,0.47368421052631576
0.39285714285714285,0.5535714285714286,0.5714285714285714,0.5357142857142857,0.7321428571428571,0.5714285714285714,0.5892857142857143,0.5892857142857143,0.42857142857142855,0.7321428571428571,0.75,0.7321428571428571,0.7321428571428571,0.7142857142857143,0.39285714285714285
0.42857142857142855,0.625,0.5892857142857143,0.5357142857142857,0.7857142857142857,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.4642857142857143,0.7142857142857143,0.75,0.7857142857142857,0.7678571428571429,0.6964285714285714,0.5714285714285714
0.35714285714285715,0.5714285714285714,0.5535714285714286,0.5714285714285714,0.6428571428571429,0.6071428571428571,0.625,0.5892857142857143,0.3392857142857143,0.6785714285714286,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.5357142857142857
0.32142857142857145,0.4642857142857143,0.4107142857142857,0.44642857142857145,0.6607142857142857,0.5,0.5178571428571429,0.5714285714285714,0.4642857142857143,0.6964285714285714,0.75,0.6607142857142857,0.6785714285714286,0.6428571428571429,0.42857142857142855
0.4107142857142857,0.6071428571428571,0.5,0.5178571428571429,0.6428571428571429,0.625,0.5535714285714286,0.75,0.44642857142857145,0.6964285714285714,0.7321428571428571,0.6428571428571429,0.7142857142857143,0.5714285714285714,0.375
0.375,0.6428571428571429,0.5535714285714286,0.5535714285714286,0.7678571428571429,0.6607142857142857,0.5535714285714286,0.6964285714285714,0.48214285714285715,0.7857142857142857,0.7678571428571429,0.7678571428571429,0.75,0.7142857142857143,0.42857142857142855
0.44642857142857145,0.6428571428571429,0.5535714285714286,0.5535714285714286,0.7321428571428571,0.6428571428571429,0.625,0.7142857142857143,0.48214285714285715,0.75,0.6964285714285714,0.7321428571428571,0.7142857142857143,0.6785714285714286,0.5
0.39285714285714285,0.625,0.42857142857142855,0.4107142857142857,0.6785714285714286,0.6964285714285714,0.625,0.7321428571428571,0.375,0.7142857142857143,0.6964285714285714,0.6785714285714286,0.7321428571428571,0.6607142857142857,0.48214285714285715
0.3392857142857143,0.5892857142857143,0.44642857142857145,0.5535714285714286,0.6964285714285714,0.6071428571428571,0.6428571428571429,0.6964285714285714,0.4642857142857143,0.7678571428571429,0.6964285714285714,0.6964285714285714,0.7321428571428571,0.6607142857142857,0.5714285714285714
