,Pred: ZnCl$_2$,Pred: 13T/12A,Pred: 20A/5T,Pred: 20T/5A,Pred: 25A,Pred: 25T,Pred: Standard
True: ZnCl$_2$,70,5,2,1,1,0,1
True: 13T/12A,4,51,19,6,0,0,0
True: 20A/5T,0,9,51,17,0,2,1
True: 20T/5A,2,9,20,33,1,15,0
True: 25A,1,0,0,0,67,5,7
True: 25T,0,0,1,8,7,63,1
True: Standard,1,0,0,1,7,2,70
