,Pred: ZnCl$_2$,Pred: 13T/12A,Pred: 20A/5T,Pred: 20T/5A,Pred: 25A,Pred: 25T,Pred: Standard
True: ZnCl$_2$,41,12,13,8,2,0,4
True: 13T/12A,16,26,18,13,1,6,0
True: 20A/5T,7,8,35,21,1,7,1
True: 20T/5A,6,14,17,17,6,19,1
True: 25A,1,2,3,4,47,16,7
True: 25T,2,4,7,18,9,39,1
True: Standard,2,0,0,2,10,5,62
