,Pred: ZnCl$_2$,Pred: 13T/12A,Pred: 20A/5T,Pred: 20T/5A,Pred: 25A,Pred: 25T,Pred: Standard
True: ZnCl$_2$,68,7,3,0,1,0,1
True: 13T/12A,6,47,19,7,0,1,0
True: 20A/5T,1,7,56,14,0,2,0
True: 20T/5A,3,11,18,28,2,18,0
True: 25A,0,0,0,1,65,5,9
True: 25T,0,0,3,7,7,61,2
True: Standard,1,0,1,1,8,0,70
