,Pred: ZnCl$_2$,Pred: 13T/12A,Pred: 20A/5T,Pred: 20T/5A,Pred: 25A,Pred: 25T,Pred: Standard
True: ZnCl$_2$,38,25,7,8,0,1,1
True: 13T/12A,7,31,18,21,0,3,0
True: 20A/5T,5,29,17,24,0,4,1
True: 20T/5A,3,15,6,31,0,24,1
True: 25A,1,0,0,2,45,25,7
True: 25T,0,2,5,23,3,46,1
True: Standard,4,2,1,0,27,8,39
