,Pred: ZnCl$_2$,Pred: 13T/12A,Pred: 20A/5T,Pred: 20T/5A,Pred: 25A,Pred: 25T,Pred: Standard
True: ZnCl$_2$,58,12,5,2,1,1,1
True: 13T/12A,15,39,14,9,0,1,2
True: 20A/5T,3,13,45,16,0,2,1
True: 20T/5A,2,19,19,21,1,15,3
True: 25A,0,0,1,1,65,8,5
True: 25T,1,1,6,12,4,54,2
True: Standard,0,0,1,1,2,1,76
