,Pred: ZnCl$_2$,Pred: 13T/12A,Pred: 20A/5T,Pred: 20T/5A,Pred: 25A,Pred: 25T,Pred: Standard
True: ZnCl$_2$,58,8,8,3,1,0,2
True: 13T/12A,16,33,15,12,0,3,1
True: 20A/5T,6,11,44,14,1,4,0
True: 20T/5A,8,17,20,17,2,12,4
True: 25A,1,0,1,1,62,12,3
True: 25T,2,1,10,11,5,50,1
True: Standard,3,0,0,0,6,0,72
