,Pred: ZnCl$_2$,Pred: 13T/12A,Pred: 20A/5T,Pred: 20T/5A,Pred: 25A,Pred: 25T,Pred: Standard
True: ZnCl$_2$,72,4,2,0,1,0,1
True: 13T/12A,6,47,18,7,0,1,1
True: 20A/5T,3,5,53,14,0,5,0
True: 20T/5A,2,8,22,27,1,19,1
True: 25A,1,0,0,0,70,6,3
True: 25T,2,0,7,4,5,62,0
True: Standard,0,0,0,1,5,0,75
